Product Name,Price,Brand,Size,Display
Sansui 60 cm (24 Inches) HD Ready LED TV JSY24NSHD (Black),"INR 7,999",SANSUI,24,LED
VW 60 cm (24 inches) Premium Series HD Ready LED TV VW24A (Black),"INR 5,699",VW,24,LED
MI 80 cm (32 inches) A Series HD Ready Smart Google TV L32M8-5AIN (Black),"INR 12,499",MI,32,LED
Kodak 80 cm (32 inches) Special Edition Series HD Ready Smart LED TV 32SE5001BL (Black),"INR 8,499",KODAK,32,LED
Sony Bravia 80 cm (32 inches) HD Ready Smart LED Google TV KD-32W820K (Black),"INR 24,990",SONY,32,LED
Kodak 80 cm (32 inches) HD Ready Certified Android LED TV 32HDX7XPRO (Black),"INR 9,499",KODAK,32,LED
LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),"INR 15,990",LG,32,LED
Samsung 80 cm (32 Inches) HD Ready LED TV UA32T4010ARXXL (Black),"INR 11,601",SAMSUNG,32,LED
Panasonic 80 cm (32 inches) HD Ready Smart LED Google TV TH32MS660DX (Black),"INR 15,990",PANASONIC,32,LED
Sony Bravia 80 cm (32 inches) HD Ready Smart LED Google TV KD-32W830K (Black) (2022 Model) | with Alexa Compatibility,"INR 26,990",SONY,32,LED
Westinghouse 80 cm (32 inches) W2 Series HD Ready Certified Android LED TV WH32HX41 (Black),"INR 8,999",WESTINGHOUSE,32,LED
Westinghouse 80 cm (32 inches) HD Ready Smart Certified Android LED TV WH32SP12 (Black),"INR 8,999",WESTINGHOUSE,32,LED
Onida 80 cm (32 inches) HD Ready Smart LED Fire TV 32HIF3 (Black),"INR 11,599",ONIDA,32,LED
Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340AKXXL (Glossy Black) (2020),"INR 14,590",SAMSUNG,32,LED
Dyanora Sigma 80 cm (32 Inches) HD Ready Smart LED TV DY-LD32H4S (Black) (2022 Model),"INR 8,599.",DYANORA,32,LED
